source_policy,policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon
cogact,cogact,stack,16,4,202706342,0,60,,0,60
cogact,cogact,stack,17,4,202706343,0,60,,0,60
cogact,cogact,stack,18,4,202706344,0,60,,0,60
cogact,cogact,stack,19,4,202706345,0,60,,0,60
cogact,cogact,stack,20,4,202706346,0,60,,0,60
cogact,cogact,stack,21,4,202706347,0,60,,0,60
cogact,cogact,stack,22,4,202706348,0,60,,0,60
cogact,cogact,stack,23,4,202706349,1,60,,0,60
cogact,cogact,stack,0,5,202706350,0,60,,0,60
cogact,cogact,stack,1,5,202706351,0,60,,0,60
cogact,cogact,stack,2,5,202706352,0,60,,0,60
cogact,cogact,stack,3,5,202706353,0,60,,0,60
cogact,cogact,stack,4,5,202706354,1,60,,0,60
cogact,cogact,stack,5,5,202706355,0,60,,0,60
cogact,cogact,stack,6,5,202706356,0,60,,0,60
cogact,cogact,stack,7,5,202706357,0,60,,0,60
cogact,cogact,stack,8,5,202706358,0,60,,0,60
cogact,cogact,stack,9,5,202706359,0,60,,0,60
cogact,cogact,stack,10,5,202706360,1,60,,0,60
cogact,cogact,stack,11,5,202706361,0,60,,0,60
cogact,cogact,stack,12,5,202706362,0,60,,0,60
cogact,cogact,stack,13,5,202706363,0,60,,0,60
cogact,cogact,stack,14,5,202706364,0,60,,0,60
cogact,cogact,stack,15,5,202706365,1,60,,0,60
cogact,cogact,stack,16,5,202706366,1,60,,0,60
cogact,cogact,stack,17,5,202706367,0,60,,0,60
cogact,cogact,stack,18,5,202706368,0,60,,0,60
cogact,cogact,stack,19,5,202706369,0,60,,0,60
cogact,cogact,stack,20,5,202706370,0,60,,0,60
cogact,cogact,stack,21,5,202706371,0,60,,0,60
cogact,cogact,stack,22,5,202706372,0,60,,0,60
cogact,cogact,stack,23,5,202706373,1,60,,0,60
cogact,cogact,stack,0,6,202706374,0,60,,0,60
cogact,cogact,stack,1,6,202706375,0,60,,0,60
cogact,cogact,stack,2,6,202706376,0,60,,0,60
cogact,cogact,stack,3,6,202706377,0,60,,0,60
cogact,cogact,stack,4,6,202706378,0,60,,0,60
cogact,cogact,stack,5,6,202706379,0,60,,0,60
cogact,cogact,stack,6,6,202706380,0,60,,0,60
cogact,cogact,stack,7,6,202706381,1,60,,0,60
cogact,cogact,stack,8,6,202706382,0,60,,0,60
cogact,cogact,stack,9,6,202706383,1,60,,0,60
cogact,cogact,stack,10,6,202706384,1,60,,0,60
cogact,cogact,stack,11,6,202706385,0,60,,0,60
cogact,cogact,stack,12,6,202706386,0,60,,0,60
cogact,cogact,stack,13,6,202706387,0,60,,0,60
cogact,cogact,stack,14,6,202706388,0,60,,0,60
cogact,cogact,stack,15,6,202706389,0,60,,0,60
cogact,cogact,stack,16,6,202706390,0,60,,0,60
cogact,cogact,stack,17,6,202706391,0,60,,0,60
cogact,cogact,stack,18,6,202706392,0,60,,0,60
cogact,cogact,stack,19,6,202706393,0,60,,0,60
cogact,cogact,stack,20,6,202706394,0,60,,0,60
cogact,cogact,stack,21,6,202706395,0,60,,0,60
cogact,cogact,stack,22,6,202706396,0,60,,0,60
cogact,cogact,stack,23,6,202706397,0,60,,0,60
cogact,cogact,stack,0,7,202706398,0,60,,0,60
cogact,cogact,stack,1,7,202706399,0,60,,0,60
cogact,cogact,stack,2,7,202706400,0,60,,0,60
cogact,cogact,stack,3,7,202706401,0,60,,0,60
cogact,cogact,stack,4,7,202706402,0,60,,0,60
cogact,cogact,stack,5,7,202706403,0,60,,0,60
cogact,cogact,stack,6,7,202706404,0,60,,0,60
cogact,cogact,stack,7,7,202706405,1,60,,0,60
cogact,cogact,stack,8,7,202706406,0,60,,0,60
cogact,cogact,stack,9,7,202706407,1,60,,0,60
cogact,cogact,stack,10,7,202706408,1,60,,0,60
cogact,cogact,stack,11,7,202706409,0,60,,0,60
cogact,cogact,stack,12,7,202706410,0,60,,0,60
cogact,cogact,stack,13,7,202706411,0,60,,0,60
cogact,cogact,stack,14,7,202706412,0,60,,0,60
cogact,cogact,stack,15,7,202706413,1,60,,0,60
cogact,cogact,stack,16,7,202706414,0,60,,0,60
cogact,cogact,stack,17,7,202706415,0,60,,0,60
cogact,cogact,stack,18,7,202706416,0,60,,0,60
cogact,cogact,stack,19,7,202706417,0,60,,0,60
cogact,cogact,stack,20,7,202706418,0,60,,0,60
cogact,cogact,stack,21,7,202706419,0,60,,0,60
cogact,cogact,stack,22,7,202706420,0,60,,0,60
cogact,cogact,stack,23,7,202706421,0,60,,0,60
cogact,cogact,stack,0,8,202706422,0,60,,0,60
cogact,cogact,stack,1,8,202706423,0,60,,0,60
cogact,cogact,stack,2,8,202706424,0,60,,0,60
cogact,cogact,stack,3,8,202706425,0,60,,0,60
cogact,cogact,stack,4,8,202706426,0,60,,0,60
cogact,cogact,stack,5,8,202706427,0,60,,0,60
cogact,cogact,stack,6,8,202706428,0,60,,0,60
cogact,cogact,stack,7,8,202706429,0,60,,0,60
cogact,cogact,stack,8,8,202706430,0,60,,0,60
cogact,cogact,stack,9,8,202706431,1,60,,0,60
cogact,cogact,stack,10,8,202706432,1,60,,0,60
cogact,cogact,stack,11,8,202706433,0,60,,0,60
cogact,cogact,stack,12,8,202706434,0,60,,0,60
cogact,cogact,stack,13,8,202706435,0,60,,0,60
cogact,cogact,stack,14,8,202706436,0,60,,0,60
cogact,cogact,stack,15,8,202706437,0,60,,0,60
cogact,cogact,stack,16,8,202706438,0,60,,0,60
cogact,cogact,stack,17,8,202706439,0,60,,0,60
