paper_name,libero_spatial,libero_object,libero_goal,libero_long10,libero_spatial_prev_sota,libero_object_prev_sota,libero_goal_prev_sota,libero_long10_prev_sota
MoIRA: Modular instruction routing architecture for multi-task robotics,94,,93,,90.0,,97.0,
MVP-LAM: Learning Action-Centric Latent Action via Cross-Viewpoint Reconstruction,,,94.8,90.8,,,95.8,85.2
Neural Implicit Action Fields: From Discrete Waypoints to Continuous Functions for Vision-Language-Action Models,98.2,100.0,98.0,95.5,97.1,98.8,95.8,93.5
Not All Features Are Created Equal: A Mechanistic Study of Vision-Language-Action Models,,,,,,,,
OAT: Ordered Action Tokenization,,,,56.3,,,,48.2
OFlow: Injecting Object-Aware Temporal Flow Matching for Robust Robotic Manipulation,98.0,99.0,95.0,94.5,98.0,99.0,95.8,94.0
OmniVLA-RL: A Vision-Language-Action Model with Spatial Understanding and Online RL,99.2,99.2,98.5,93.5,98.8,98.8,98.0,92.4
OxyGen: Unified KV Cache Management for Vision-Language-Action Models under Multi-Task Parallelism,98.0,,97.4,93.2,98.8,,98.0,92.4
PALM: Progress-Aware Policy Learning via Affordance Reasoning for Long-Horizon Robotic Manipulation,95.2,96.7,94.3,91.8,88.2,93.1,87.6,69.0
Phantom Menace: Exploring and Enhancing the Robustness of VLA Models Against Physical Sensor Attacks,97.6,98.4,97.9,94.5,97.6,98.8,97.9,94.5
PokeVLA: Empowering Pocket-Sized Vision-Language-Action Model with Comprehensive World Knowledge Guidance,99.6,99.6,98.4,95.2,99.6,99.6,98.8,96.4
Pri4R: Learning World Dynamics for Vision-Language-Action Models with Privileged 4D Representation,93.2,98.6,98.1,95.3,96.1,98.2,96.4,90.5
Privileged Foresight Distillation: Zero-Cost Future Correction for World Action Models,98.6,99.2,99.2,95.4,98.8,100.0,98.0,98.5
ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,88.2,96.4,87.2,66.2,84.7,96.3,85.4,78.6
QuantVLA: Scale-Calibrated Post-Training Quantization for Vision-Language-Action Models,98.5,98.0,98.0,96.0,98.5,99.0,97.5,93.5
QVLA: Not All Channels Are Equal in Vision-Language-Action Model's Quantization,96.2,97.6,96.4,93.8,97.6,98.4,97.9,94.5
Recurrent-Depth VLA: Implicit Test-Time Compute Scaling of Vision-Language-Action Models via Latent Iterative Reasoning,92.0,99.0,96.0,84.8,96.4,97.2,91.0,79.4
Red-Teaming Vision-Language-Action Models via Quality Diversity Prompt Generation for Robust Robot Policies,,,,,,,,
Reshaping Action Error Distributions for Reliable Vision-Language-Action Models,99.8,100.0,98.2,95.6,99.4,99.2,96.4,92.8
Restoring Linguistic Grounding in VLA Models via Train-Free Attention Recalibration,97.6,99.8,98.2,,97.6,98.8,98.0,
Rethinking Progression of Memory State in Robotic Manipulation: An Object-Centric Perspective,,,83.0,,,,75.5,
"Rethinking Visual-Language-Action Model Scaling: Alignment, Mixture, and Regularization",98.4,96.2,98.4,98.2,98.8,98.2,98.0,92.4
ReViP: Mitigating False Completion in Vision-Language-Action Models with Vision-Proprioception Rebalance,99.0,98.8,96.6,92.2,98.0,98.8,95.8,92.0
RLDX-1 Technical Report,98.0,99.3,98.4,95.3,,,,94.4
RoboAlign: Learning Test-Time Reasoning for Language-Action Alignment in Vision-Language-Action Models,93.8,96.0,87.2,70.0,88.3,91.6,87.6,70.9
RoboGate: Adaptive Failure Discovery for Safe Robot Policy Deployment via Two-Stage Boundary-Focused Sampling,97.65,,,,,,,
Robotic Manipulation is Vision-to-Geometry Mapping ($f(v) \rightarrow G$): Vision-Geometry Backbones over Language and Video Models,99.0,99.6,98.6,95.0,98.8,100.0,99.0,97.6
ROCKET: Residual-Oriented Multi-Layer Alignment for Spatially-Aware Vision-Language-Action Models,98.2,99.8,98.8,97.0,99.4,99.8,98.8,96.6
SaiVLA-0: Cerebrum--Pons--Cerebellum Tripartite Architecture for Compute-Aware Vision-Language-Action,99.8,100.0,98.2,97.8,98.8,98.8,98.0,94.5
"Say, Dream, and Act: Learning Video World Models for Instruction-Driven Robot Manipulation",99.4,99.2,98.2,95.4,97.6,98.8,97.9,94.5
"See, Plan, Rewind: Progress-Aware Vision-Language-Action Models for Robust Robotic Manipulation",93.2,95.4,93.2,85.4,96.4,96.8,88.6,77.2
Sentinel-VLA: A Metacognitive VLA Model with Active Status Monitoring for Dynamic Reasoning and Error Recovery,,,,90.7,,,,87.8
Shallow-π: Knowledge Distillation for Flow-based VLAs,99.0,98.0,97.0,93.0,99.0,99.0,98.0,95.0
Shifting Uncertainty to Critical Moments: Towards Reliable Uncertainty Quantification for VLA Model,,,,,,,,
SimVLA: A Simple VLA Baseline for Robotic Manipulation,99.6,99.8,98.6,96.4,98.8,99.2,98.0,97.6
SmoothVLA: Aligning Vision-Language-Action Models with Physical Constraints via Intrinsic Smoothness Optimization,85.6,94.2,84.0,58.3,84.5,92.1,82.9,52.9
SnapFlow: One-Step Action Generation for Flow-Matching VLAs via Progressive Self-Distillation,99.0,100.0,99.0,97.0,98.0,100.0,97.6,97.0
Speedup Patch: Learning a Plug-and-Play Policy to Accelerate Embodied Manipulation,97.2,99.4,98.6,94.0,98.8,98.8,98.0,93.2
ST-$π$: Structured SpatioTemporal VLA for Robotic Manipulation,98.4,98.3,96.9,94.3,98.8,98.2,96.8,92.4
Stable Language Guidance for Vision-Language-Action Models,98.6,99.2,95.8,92.8,96.8,98.8,97.2,89.6
StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,97.8,98.6,96.2,93.8,97.6,98.8,97.9,94.5
StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems,99.0,99.8,98.5,94.1,98.8,98.8,98.0,94.5
StreamingVLA: Streaming Vision-Language-Action Model with Action Flow Matching and Adaptive Early Observation,96.6,96.6,95.4,91.0,98.8,99.2,98.0,94.6
StreamVLA: Breaking the Reason-Act Cycle via Completion-State Gating,99.2,99.4,98.6,96.6,98.8,98.8,98.0,95.6
STRONG-VLA: Decoupled Robustness Learning for Vision-Language-Action Models under Multimodal Perturbations,,,,,,,,
TempoFit: Plug-and-Play Layer-Wise Temporal KV Memory for Long-Horizon Vision-Language-Action Manipulation,,,,96.6,,,,96.4
Test-Time Perturbation Learning with Delayed Feedback for Vision-Language-Action Models,90.0,72.0,86.0,59.0,85.0,92.0,85.0,55.0
The Compression Gap: Why Discrete Tokenization Limits Vision-Language-Action Model Scaling,,,,70.0,,,,
Thinking in Text and Images: Interleaved Vision--Language Reasoning Traces for Long-Horizon Robot Manipulation,97.8,95.8,97.0,92.4,97.0,97.8,96.2,87.6
Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning,98.2,99.2,95.8,89.0,98.0,98.8,95.8,91.1
Towards Practical World Model-based Reinforcement Learning for Vision-Language-Action Models,87.8,96.6,92.8,66.8,86.0,92.4,90.8,61.2
TTQ: Activation-Aware Test-Time Quantization to Accelerate LLM Inference On The Fly,94.5,100.0,93.5,87.5,97.5,100.0,97.0,96.5
Uncovering Linguistic Fragility in Vision-Language-Action Models via Diversity-Aware Red Teaming,,,,,78.4,80.4,29.2,74.0
Universal Pose Pretraining for Generalizable Vision-Language-Action Policies,96.5,98.0,97.1,92.4,98.8,98.8,98.0,92.4
Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,96.6,97.6,98.2,96.4,99.2,99.6,99.4,97.4
VISTA: Enhancing Visual Conditioning via Track-Following Preference Optimization in Vision-Language-Action Models,84.8,91.6,84.2,57.0,88.2,92.5,84.6,55.5
VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,97.8,99.2,97.2,95.0,97.6,98.8,97.9,94.5
VLA-ATTC: Adaptive Test-Time Compute for VLA Models with Relative Action Critic Model,,,,94.0,,,,90.6
vla-eval: A Unified Evaluation Harness for Vision-Language-Action Models,,,,,,,,
VLA-GSE: Boosting Parameter-Efficient Fine-Tuning in VLA with Generalized and Specialized Experts,98.8,99.8,98.2,96.8,99.0,99.2,98.0,97.6
VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models,97.6,99.6,98.4,95.6,99.4,98.4,98.3,95.4
VLA-InfoEntropy: A Training-Free Vision-Attention Information Entropy Approach for Vision-Language-Action Models Inference Acceleration and Success,86.4,87.6,79.4,52.2,85.8,86.6,76.4,55.0
VLA-JEPA: Enhancing Vision-Language-Action Model with Latent World Model,96.2,99.6,97.2,95.8,98.8,98.8,98.0,94.5
VLA-Thinker: Boosting Vision-Language-Action Models through Thinking-with-Image Reasoning,98.7,99.0,95.2,96.9,96.8,98.8,95.8,94.0
VolumeDP: Modeling Volumetric Representation for Manipulation Policy Learning,90.7,95.9,89.9,78.7,81.1,92.5,76.2,57.6
When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs,98.8,98.2,98.0,92.4,98.8,98.8,98.0,94.5
World Model for Robot Learning: A Comprehensive Survey,,,,,,,,
World-Value-Action Model: Implicit Planning for Vision-Language-Action Systems,99.6,100.0,98.6,94.4,98.8,99.2,98.0,95.0
World2Act: Latent Action Post-Training via Skill-Compositional World Models,98.0,100.0,98.3,98.0,99.1,100.0,99.2,97.6
WoVR: World Models as Reliable Simulators for Post-Training VLA Policies with RL,81.5,82.0,77.5,35.8,67.8,48.0,54.6,14.5
Xiaomi-Robotics-0: An Open-Sourced Vision-Language-Action Model with Real-Time Execution,98.8,100.0,98.8,97.2,99.7,99.8,99.2,94.9
You've Got a Golden Ticket: Improving Generative Robot Policies With A Single Noise Vector,93.4,100.0,94.4,,80.4,92.0,81.6,
One Token Per Frame: Reconsidering Visual Bandwidth in World Models for VLA Policy,98.2,99.6,99.0,95.6,98.8,98.8,98.0,92.4
Predictive but Not Plannable: RC-aux for Latent World Models,,,,,,,97.0,
OA-WAM: Object-Addressable World Action Model for Robust Robot Manipulation,98.9,99.0,97.4,95.9,98.8,99.6,98.0,96.8
PRTS: A Primitive Reasoning and Tasking System via Contrastive Representations,98.8,99.8,98.4,96.6,98.8,99.8,99.0,97.6
TAG: Target-Agnostic Guidance for Stable Object-Centric Inference in Vision-Language-Action Models,97.8,99.2,97.4,97.0,98.0,99.0,97.5,94.4
Do World Action Models Generalize Better than VLAs? A Robustness Study,,,,,,,,
Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,99.6,99.8,98.4,96.4,98.8,98.8,98.0,94.5
VLANeXt: Recipes for Building Strong VLA Models,99.0,99.2,96.6,94.6,97.6,99.1,97.9,94.9
HBVLA: Pushing 1-Bit Post-Training Quantization for Vision-Language-Action Models,89.3,97.8,91.3,82.7,87.2,76.0,89.6,62.0
IVRA: Improving Visual-Token Relations for Robot Action Policy with Training-Free Hint-Based Guidance,97.3,99.9,97.6,94.9,97.2,99.3,96.9,94.5
VAT: Vision Action Transformer by Unlocking Full Representation of ViT,98.8,99.4,97.6,96.8,97.6,98.8,97.9,94.5
Steering Vision-Language-Action Models as Anti-Exploration: A Test-Time Scaling Approach,,,,96.6,,,,94.8
Much Ado About Noising: Dispelling the Myths of Generative Robotic Control,97.6,95.8,95.2,82.2,97.2,97.4,95.0,81.6
Continually Evolving Skill Knowledge in Vision Language Action Model,,,,,,,98.0,92.4
Expertise Need Not Monopolize: Action-Specialized Mixture of Experts for Vision-Language-Action Learning,99.6,95.0,97.2,92.0,96.4,98.8,95.8,85.2
3D CAVLA: Leveraging Depth and 3D Context to Generalize Vision Language Action Models for Unseen Tasks,98.2,99.8,98.2,96.1,97.6,98.8,97.9,94.5
VGGT-$\Omega$,99.3,99.2,99.0,96.7,97.6,98.8,97.9,94.5
IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation,99.3,99.7,98.1,97.4,99.2,99.6,98.0,95.4
BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning,90.6,97.6,93.2,85.2,89.8,96.6,94.2,53.7
FrameSkip: Learning from Fewer but More Informative Frames in VLA Training,98.6,99.0,98.2,93.8,98.8,99.0,98.0,94.4
Realtime-VLA FLASH: Speculative Inference Framework for Diffusion-based VLAs,96.8,99.2,94.4,84.6,96.8,98.8,95.8,86.6
"Guide, Think, Act: Interactive Embodied Reasoning in Vision-Language-Action Models",99.0,98.8,98.4,97.6,98.8,99.0,98.0,97.6
DreamAvoid: Critical-Phase Test-Time Dreaming to Avoid Failures in VLA Policies,99.0,98.5,99.0,94.5,99.0,99.0,98.0,92.0
Beyond World-Frame Action Heads: Motion-Centric Action Frames for Vision-Language-Action Models,98.6,98.8,98.4,95.0,97.6,98.8,97.9,94.5
Learning Action Manifold with Multi-view Latent Priors for Robotic Manipulation,98.8,99.8,99.0,96.6,99.4,99.8,98.8,97.6
See What Matters: Differentiable Grid Sample Pruning for Generalizable Vision-Language-Action Model,98.6,98.8,98.4,95.2,98.4,98.8,97.6,92.8
Premover: Fast Vision-Language-Action Control by Acting Before Instructions Are Complete,98.6,99.1,93.7,88.9,99.4,97.4,94.9,88.3
From Imagined Futures to Executable Actions: Mixture of Latent Actions for Robot Manipulation,93.0,99.5,99.5,96.0,88.2,95.0,92.0,91.5
Dynamic Execution Commitment of Vision-Language-Action Models,98.6,99.4,98.0,96.2,99.1,99.8,98.2,95.6
ALAM: Algebraically Consistent Latent Action Model for Vision-Language-Action Models,99.2,99.6,99.0,94.4,98.8,98.8,98.0,96.0
PriorVLA: Prior-Preserving Adaptation for Vision-Language-Action Models,99.4,99.8,99.4,97.6,98.8,98.8,98.0,94.5
CapVector: Learning Transferable Capability Vectors in Parametric Space for Vision-Language-Action Models,98.4,98.4,96.8,94.8,97.2,99.2,96.8,94.2
LoopVLA: Learning Sufficiency in Recurrent Refinement for Vision-Language-Action Models,95.0,100.0,97.4,91.0,98.2,98.8,97.2,91.3
ECHO: Continuous Hierarchical Memory for Vision-Language-Action Models,98.3,98.8,98.6,93.5,98.0,98.4,96.4,92.4
ElasticFlow: One-Step Physics-Consistent Policy with Elastic Time Horizons for Language-Guided Manipulation,98.4,99.3,98.7,97.6,98.8,99.4,97.9,96.4
ForgeVLA: Federated Vision-Language-Action Learning without Language Annotations,72.6,98.6,55.2,63.6,68.6,97.6,28.8,52.8
Failing Forward: Adaptive Failure-Informed Learning for Vision-Language-Action Models,99.8,99.7,98.1,95.8,98.8,98.2,98.0,92.4
