policy,fresh_seed,num_calibration_sequences,num_fresh_sequences,calibration_atc,fresh_atc,atc_drop_calibration_minus_fresh
X-VLA,2026052601,1000,1000,4.165000,4.168000,-0.003000
X-VLA,2026052602,1000,1000,4.165000,4.191000,-0.026000
X-VLA,pooled,1000,2000,4.165000,4.179500,-0.014500
GR-1,2026052601,1000,1000,3.244000,3.134000,0.110000
GR-1,2026052602,1000,1000,3.244000,3.140000,0.104000
GR-1,pooled,1000,2000,3.244000,3.137000,0.107000
RoboFlamingo,2026052601,1000,1000,2.367000,2.289000,0.078000
RoboFlamingo,2026052602,1000,1000,2.367000,2.307000,0.060000
RoboFlamingo,pooled,1000,2000,2.367000,2.298000,0.069000
