benchmark,track,source_csv,current_column,previous_sota_column,T,S,R,score_unit,count_rounding_method,alpha,z_critical,categorized_rows,excluded_missing_score_rows,no_improvement_rows,provably_not_significant_rows,provably_significant_rows,indeterminate_rows,notes
LIBERO,spatial,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,libero_spatial,libero_spatial_prev_sota,10,50,1,percent,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,262,58,115,42,42,63,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,object,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,libero_object,libero_object_prev_sota,10,50,1,percent,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,259,61,118,37,59,45,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,goal,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,libero_goal,libero_goal_prev_sota,10,50,1,percent,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,268,52,130,33,43,62,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,long10,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,libero_long10,libero_long10_prev_sota,10,50,1,percent,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,282,38,87,17,83,95,Per-suite binary success rate over 10 tasks x 50 official trials.
CALVIN,abc_d_atc,leaderboards/stat_significance_sam_export_20260522T233929/sam_calvin_abc_d_official_prev_sota.csv,calvin_abc_d_atc,calvin_abc_d_prev_sota_atc,1,1000,5,raw_atc,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,107,1,24,0,47,36,Aggregate ABC-D average-tasks-completed score over 1000 sequences; each sequence contributes 0..5.
SimplerEnv,widowx_bridge,leaderboards/stat_significance_sam_export_20260522T233929/sam_simplerenv_widowx_bridge_official_prev_sota.csv,simplerenv_widowx_bridge_success_rate,simplerenv_widowx_bridge_prev_sota_success_rate,1,96,1,percent,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,122,0,17,16,27,62,Protocol-level binary success rate over 4 tasks x 24 trials; per-task scores are not used in this public aggregate audit.
RoboCasa,rss24,leaderboards/stat_significance_sam_export_20260522T233929/sam_robocasa_rss24_official_prev_sota.csv,robocasa_rss24_success_rate,robocasa_rss24_prev_sota_success_rate,1,1200,1,percent,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,30,2,4,0,16,10,Protocol-level binary success rate over 24 tasks x 50 trials; per-task scores are not used in this public aggregate audit.
RoboTwin2,hard_randomized,leaderboards/stat_significance_sam_export_20260522T233929/sam_robotwin2_randomized_augmented_official_prev_sota.csv,robotwin2_hard_randomized_success_rate,robotwin2_hard_randomized_50clean_500rand_prev_sota_success_rate,1,5000,1,percent,python_round_nearest_even_matches_significance_cutoffs,0.05,1.644853627,19,0,2,0,14,3,Protocol-level binary success rate over 50 tasks x 100 trials; per-task scores are not used in this public aggregate audit.
